DateTime,Entries,UniqueIPs
1538393550,107,107
1538394707,108,108
1538395846,107,107
1538397759,108,108
1538398595,109,109
1538399739,108,108
1538401354,106,106
1538402204,108,108
1538404132,105,105
1538404961,103,103
1538407778,105,105
1538408552,106,106
1538411336,107,107
1538412928,106,106
1538414070,106,106
1538416542,107,107
1538417669,105,105
1538419382,101,101
1538420192,104,104
1538421342,103,103
1538422531,101,101
1538423656,99,99
1538425732,98,98
1538427402,99,99
1538428549,99,99
1538429813,102,102
1538432085,103,103
1538434796,102,102
1538435678,104,104
1538436540,104,104
1538437985,103,103
1538439346,101,101
1538441737,101,101
1538442952,102,102
1538444137,103,103
1538446485,104,104
1538447391,103,103
1538448644,103,103
1538449850,106,106
1538450086,105,105
1538451334,103,103
1538453450,102,102
1538455375,101,101
1538457288,102,102
1538460344,102,102
1538461723,105,105
1538463032,104,104
1538464483,103,103
1538465731,103,103
1538466930,104,104
1538468069,105,105
1538469770,104,104
1538471135,105,105
1538472641,106,106
1538474203,107,107
1538475343,104,104
1538477262,105,105
1538478646,106,106
1538482189,105,105
1538484149,106,106
1538485530,107,107
1538487107,105,105
1538489738,108,108
1538491351,108,108
1538493282,106,106
1538494536,108,108
1538496226,107,107
1538498746,108,108
1538499941,107,107
1538501090,108,108
1538502990,107,107
1538504141,108,108
1538504980,108,108
1538506590,107,107
1538507679,108,108
1538508581,109,109
1538509351,109,109
1538510503,111,111
1538511649,109,109
1538512952,111,111
1538514334,107,107
1538515848,106,106
1538517207,106,106
1538518482,110,110
1538519337,110,110
1538521543,110,110
1538523346,109,109
1538525671,110,110
1538528199,109,109
1538529287,107,107
1538530811,105,105
1538532883,105,105
1538534557,106,106
1538535948,106,106
1538538636,106,106
1538540925,106,106
1538542597,107,107
1538543750,107,107
1538544536,109,109
1538545838,110,110
1538548841,108,108
1538551734,106,106
1538553336,105,105
1538556516,106,106
1538557839,105,105
1538558933,105,105
1538559755,106,106
1538561737,106,106
1538565269,106,106
